Ten,Nam_Sinh,Chuc_Vu
Cao Thị Hòa An,1973,"Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Tỉnh ủy, Chủ tịch HĐND tỉnh Đắk Lắk"
Phan Thăng An,1974,"Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy, Chủ tịch HĐND tỉnh Cao Bằng"
Phạm Đức Ấn,1970,Ủy viên Trung ương Đảng; Thống đốc Ngân hàng Nhà nước
Nguyễn Hải Anh,1980,"Ủy viên dự khuyết Trung ương Đảng; Đại tá, Phó Tư lệnh Quân đoàn 12, Bộ Quốc phòng"
Nguyễn Tuấn Anh,1983,Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Tỉnh ủy Lai Châu
Đào Tuấn Anh,1970,"Ủy viên Trung ương Đảng; Trung tướng, Tư lệnh Quân đoàn 34"
Nguyễn Doãn Anh,1967,Ủy viên Trung ương Đảng; Phó Chủ tịch Quốc hội
Nguyễn Hoài Anh,1977,"Ủy viên Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Thanh Hóa"
Trần Văn Bắc,1974,"Ủy viên Trung ương Đảng; Thiếu tướng, Tư lệnh Quân khu 2, Bộ Quốc phòng"
Lê Hải Bình,1977,"Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy, Phó Giám đốc Học viện Chính trị quốc gia Hồ Chí Minh"
Đỗ Thanh Bình,1967,Ủy viên Trung ương Đảng; Bộ trưởng Bộ Nội vụ
Đoàn Xuân Bường,1974,"Ủy viên Trung ương Đảng; Thiếu tướng, Bí thư Đảng ủy, Chính ủy Quân khu 4, Bộ Quốc phòng"
Lê Ngọc Châu,1972,Ủy viên Trung ương Đảng; Bí thư Thành ủy Hải Phòng
Lê Tiến Châu,1969,Ủy viên Trung ương Đảng; Phó Thủ tướng Chính phủ
Đỗ Văn Chiến,1962,Ủy viên Bộ Chính trị; Phó Bí thư Thường trực Đảng ủy Quốc hội; Phó Chủ tịch Thường trực Quốc hội
Hoàng Duy Chinh,1968,Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Phó Chủ tịch Thường trực Hội đồng Dân tộc của Quốc hội
Nguyễn Tân Cương,1966,"Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Quân ủy Trung ương; Đại tướng, Tổng Tham mưu trưởng Quân đội nhân dân Việt Nam, Thứ trưởng Bộ Quốc phòng"
Nguyễn Mạnh Cường,1979,Ủy viên dự khuyết Trung ương Đảng; Phó Chủ tịch UBND Thành phố Hồ Chí Minh
Ngô Chí Cường,1967,"Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy, Chủ tịch HĐND tỉnh Đồng Tháp"
Nguyễn Mạnh Cường,1973,"Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Đảng ủy, Thứ trưởng Bộ Ngoại giao"
Quản Minh Cường,1969,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Quảng Ninh
Nguyễn Hồng Diên,1965,Ủy viên Trung ương Đảng; Phó Chủ tịch Quốc hội
Nguyễn Khắc Định,1964,Ủy viên Trung ương Đảng; Phó Chủ tịch Quốc hội
Lương Quốc Đoàn,1970,Ủy viên Trung ương Đảng; Phó Chủ tịch Ủy ban Trung ương MTTQ Việt Nam; Chủ tịch Ban Chấp hành Trung ương Hội Nông dân Việt Nam
Nguyễn Quốc Đoàn,1975,Ủy viên Trung ương Đảng; Tổng Thanh tra Chính phủ
Trần Duy Đông,1979,"Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Phú Thọ"
Nguyễn Hữu Đông,1972,Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Chủ nhiệm Ủy ban Công tác đại biểu của Quốc hội
Nguyễn Trọng Đông,1969,Ủy viên Trung ương Đảng; Phó Bí thư Thường trực Thành ủy Hà Nội
Đặng Hồng Đức,1977,"Ủy viên Trung ương Đảng; Ủy viên Ban Thường vụ Đảng ủy Công an Trung ương; Trung tướng, Thứ trưởng Bộ Công an"
Nguyễn Quang Đức,1971,"Ủy viên Trung ương Đảng; Phó Bí thư Đảng ủy, Phó Trưởng Ban Tuyên giáo và Dân vận Trung ương"
Bùi Quốc Dũng,1979,Ủy viên dự khuyết Trung ương Đảng; Phó Tổng Kiểm toán Nhà nước
Nguyễn Huy Dũng,1983,"Ủy viên dự khuyết Trung ương Đảng; Ủy viên chuyên trách Ban Chỉ đạo Trung ương về phát triển khoa học công nghệ, đổi mới sáng tạo và chuyển đổi số"
Nguyễn Minh Dũng,1980,"Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch HĐND tỉnh Vĩnh Long"
Đặng Văn Dũng,1972,Ủy viên Trung ương Đảng; Ủy viên Ban Chấp hành Đảng bộ các cơ quan Đảng Trung ương; Phó Trưởng Ban Nội chính Trung ương
Đoàn Anh Dũng,1977,Ủy viên Trung ương Đảng; Phó Chủ nhiệm Ủy ban Kiểm tra Trung ương
Hồ Quốc Dũng,1966,Ủy viên Trung ương Đảng; Phó Thủ tướng Chính phủ
Hoàng Trung Dũng,1971,Ủy viên Trung ương Đảng; Phó Trưởng Ban Tổ chức Trung ương
Trần Tiến Dũng,1975,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Điện Biên
Nguyễn Văn Được,1968,"Ủy viên Trung ương Đảng; Phó Bí thư Thành ủy, Chủ tịch UBND TP Hồ Chí Minh"
Phạm Đại Dương,1974,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Phú Thọ
Bùi Thế Duy,1978,Ủy viên dự khuyết Trung ương Đảng; Giám đốc Đại học Quốc gia Hà Nội
Nguyễn Văn Gấu,1967,"Ủy viên Trung ương Đảng; Ủy viên Quân ủy Trung ương; Thượng tướng, Thứ trưởng Bộ Quốc phòng"
Nguyễn Hoàng Giang,1971,"Ủy viên Trung ương Đảng; Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh Quảng Ngãi"
Phan Văn Giang,1960,"Ủy viên Bộ Chính trị; Phó Thủ tướng Chính phủ; Đại tướng, Bộ trưởng Bộ Quốc phòng"
Vũ Mạnh Hà,1979,"Ủy viên dự khuyết Trung ương Đảng; Phó Bí thư Thường trực Đảng ủy, Thứ trưởng Thường trực Bộ Y tế"
Nguyễn Thị Thu Hà,1970,Ủy viên Trung ương Đảng; Phó Chánh Văn phòng Thường trực Văn phòng Trung ương Đảng
Vũ Hải Hà,1969,"Ủy viên Trung ương Đảng; Ủy viên Ủy ban Thường vụ Quốc hội; Phó Chủ nhiệm Thường trực Ủy ban Quốc phòng, An ninh và Đối ngoại của Quốc hội"
Lê Khánh Hải,1966,Ủy viên Trung ương Đảng; Chủ nhiệm Văn phòng Chủ tịch nước
Lê Ngọc Hải,1970,"Ủy viên Trung ương Đảng; Trung tướng, Phó Bí thư Đảng ủy, Tư lệnh Quân khu 5, Bộ Quốc phòng"
Ngô Đông Hải,1970,Ủy viên Trung ương Đảng; Phó Trưởng Ban Tuyên giáo và Dân vận Trung ương
Nguyễn Hồ Hải,1977,Ủy viên Trung ương Đảng; Bí thư Tỉnh ủy Cà Mau
